Generation,Best Fitness,Avg Fitness
1,3305,135.902
2,9500,246.725
3,5190,241.1905
4,11376,226.7735
5,5125,239.516
6,7237,278.543
7,19853,310.2275
8,6402,252.011
9,6142,223.9745
10,6605,258.8705
11,5184,247.3685
12,7601,204.611
13,6283,196.476
14,5226,154.6655
15,4175,203.2605
16,4267,256.3785
17,4066,171.5215
18,6192,164.509
19,3202,143.483
20,5252,173.505
21,8287,212.58
22,16800,343.5625
23,11546,275.1045
24,12530,240.6575
25,15782,198.0765
26,25108,319.0225
27,23131,273.652
28,16896,351.4615
29,18575,268.4085
30,8287,226.1705
31,7162,149.903
32,8181,207.762
33,17750,181.692
34,10418,227.7045
35,7342,249.0425
36,7503,173.95
37,32497,231.0915
38,12667,199.538
39,6359,209.4775
40,9343,183.034
41,11665,186.7265
42,5349,252.739
43,8284,204.4175
44,6258,244.34
45,10449,248.0615
46,5367,328.791
47,7160,312.592
48,7200,274.39
49,5255,317.4475
50,7305,325.816
51,5239,279.363
52,11452,283.615
53,4194,172.6145
54,4208,146.5645
55,9354,112.63
56,7244,210.058
57,7302,265.736
58,12512,302.565
59,9348,307.051
60,9760,365.6185
61,9519,308.282
62,6266,305.609
63,5250,350.298
64,9381,408.011
65,9360,381.6605
66,5431,352.4945
67,13664,312.7155
68,5293,411.966
69,14836,433.9135
70,11442,328.5585
71,11262,252.159
72,6411,265.3315
73,6218,270.301
74,4190,339.184
75,4212,231.8455
76,10473,262.8735
77,7329,196.4675
78,7356,245.2835
79,4331,232.759
80,13688,245.2
81,8171,225.249
82,11764,234.2655
83,6222,240.8915
84,5108,212.9295
85,8528,244.78
86,11660,259.376
87,15847,273.806
88,6633,288.491
89,6403,278.5635
90,9433,297.203
91,5593,284.3085
92,6284,290.377
93,7274,266.523
94,6277,262.28
95,21010,356.679
96,6199,318.963
97,12663,310.6905
98,4268,291.765
99,10383,307.3415
100,10401,391.838
