Generation,Best Fitness,Avg Fitness
1,3121,128.5715
2,3224,227.195
3,13956,413.763
4,15603,715.0845
5,14590,640.316
6,18065,720.364
7,39009,1112.7245
8,33798,1153.6155
9,36954,1182.2845
10,29809,974.12
11,30475,1247.6985
12,29219,1242.9295
13,25296,1309.9085
14,29572,1072.704
15,38092,878.039
16,29730,1119.978
17,28027,1188.9695
18,30719,1050.084
19,25055,1158.198
20,33921,1132.66
21,43294,1346.984
22,30754,1100.858
23,50415,1186.3705
24,53895,1650.431
25,42172,1313.167
26,42611,1499.31
27,44358,1322.5705
28,31262,1321.318
29,42243,1541.79
30,50976,1185.477
31,40448,1585.975
32,46486,1277.891
33,45858,1458.452
34,44483,1419.6885
35,30483,1606.3955
36,41793,1469.949
37,79858,1635.5285
38,44537,1268.575
39,43627,1122.667
40,44438,1314.418
41,48758,1198.8475
42,76430,1132.5445
43,46215,1065.986
44,38773,1072.4295
45,46693,1434.1905
46,74450,1343.676
47,53889,1205.3055
48,58160,1491.886
49,47631,1371.596
50,39469,1627.4205
51,44418,1674.645
52,38147,1913.751
53,44879,1569.279
54,39721,1625.3025
55,42012,1233.0975
56,41516,1368.3425
57,56442,1719.6405
58,44398,1612.6785
59,44093,1283.1235
60,47872,1841.996
61,44768,1731.391
62,56921,1297.9235
63,61569,1754.4195
64,55758,1399.6475
65,55848,1477.2635
66,43386,1652.864
67,41618,1382.086
68,45454,1510.92
69,45521,1761.791
70,40134,1564.921
71,50614,1382.6285
72,38885,1499.371
73,63624,1533.055
74,54279,1628.7695
75,44843,1431.777
76,36137,1261.1985
77,54773,1786.198
78,33073,1173.5015
79,50076,2056.629
80,40262,1836.328
81,70817,1522.742
82,60134,1204.308
83,48599,1530.784
84,86278,1483.1965
85,68130,1705.007
86,57129,1530.039
87,43545,1609.8025
88,84024,1636.115
89,47715,1899.7235
90,92485,1904.164
91,57240,1430.682
92,54336,1608.9015
93,52708,1400.844
94,42477,1496.159
95,95832,1380.439
96,55002,1837.1945
97,52327,1623.8775
98,44406,1285.9275
99,63885,1614.8515
100,55761,1748.6945
