Generation,Best Fitness,Avg Fitness
1,3075,141.796
2,3312,145.722
3,3216,172.634
4,3100,178.906
5,3084,166.334
6,3359,176.21
7,2055,157.094
8,2113,195.182
9,3049,174.458
10,5128,138.062
11,2093,183.36
12,2145,180.958
13,3061,167.262
14,4431,168.424
15,6262,210.932
16,2102,181.304
17,6146,210.072
18,4170,205.922
19,2127,202.5
20,3118,191.138
21,3076,190.396
22,7200,199.01
23,2064,153.924
24,3161,196.978
25,2113,160.368
26,4225,200.946
27,3057,208.57
28,6390,246.56
29,4177,171.77
30,3099,224.87
31,5232,194.058
32,3092,166.348
33,6478,211.754
34,7367,204.144
35,13687,198.35
36,3077,175.522
37,2134,186.392
38,3104,178.672
39,3171,170.954
40,3131,172.122
41,3155,177.416
42,3099,161.684
43,3054,168.78
44,4238,214.356
45,2067,147.622
46,2107,141.706
47,2122,166.304
48,4195,203.22
49,3074,183.046
50,3166,206.516
