Generation,Best Fitness,Avg Fitness
1,5212,140.217
2,11724,334.233
3,10568,363.565
4,16052,518.2285
5,27530,658.994
6,33775,742.009
7,32503,870.016
8,40526,1035.296
9,33775,1142.0325
10,40098,1056.8325
11,33573,1262.906
12,49559,1122.8595
13,36813,1541.308
14,41587,1468.5475
15,44294,1250.4325
16,48164,1266.2535
17,58862,1679.711
18,67949,1655.3655
19,50328,2042.659
20,57670,2003.4785
21,52055,2250.6145
22,39956,1679.916
23,43160,2251.2845
24,47476,1957.295
25,47467,2149.814
26,62265,2798.342
27,48722,2468.662
28,46103,2851.7975
29,54430,2132.0425
30,54124,2386.1045
31,62845,2515.7135
32,51962,2557.869
33,71854,2234.146
34,46256,2000.888
35,65228,2207.602
36,39090,1786.363
37,50308,2272.4765
38,56496,2347.804
39,41788,1837.6635
40,56283,1765.813
41,50182,2305.743
42,59751,2186.3725
43,68443,2178.3545
44,64843,2005.4355
45,47019,2258.5075
46,49443,1872.747
47,77706,1980.506
48,45419,2186.2405
49,49011,1786.361
50,65695,2893.4345
51,62179,2022.236
52,63747,2034.0575
53,80661,2529.8385
54,59344,1984.5695
55,53693,1608.149
56,71178,1985.915
57,53318,2210.177
58,61326,3073.695
59,52065,2665.3205
60,57410,2465.687
61,56791,1815.3245
62,50296,1913.1195
63,67997,1899.7215
64,52339,2151.021
65,52524,2140.5605
66,50481,1747.9565
67,58785,1919.588
68,54428,1956.9365
69,47015,1782.0395
70,51124,1858.18
71,50385,1439.406
72,54336,1663.057
73,40375,1732.1515
74,58118,1415.3675
75,52099,1590.88
76,47090,1705.4715
77,52596,1453.5005
78,53461,2033.6215
79,67639,1715.1125
80,43813,1679.9615
81,56399,2105.001
82,52561,1965.612
83,38638,1701.414
84,51151,1543.5295
85,50487,1859.43
86,40839,1556.2345
87,44520,1477.9475
88,34695,1320.1885
89,46592,1835.8365
90,44093,1830.53
91,43772,1774.0345
92,41795,1608.4895
93,54570,2550.448
94,40745,2053.677
95,46822,1717.8725
96,49095,2308.2585
97,42813,1774.1515
98,54110,2091.7525
99,53408,2166.503
100,49922,1704.309
