Generation,Best Fitness,Avg Fitness
1,3084,149.57
2,2110,269.914
3,5151,426.376
4,9433,554.06
5,6353,557.66
6,6367,576.066
7,8202,628.462
8,9981,577.094
9,15521,454.904
10,28383,511.3
11,15015,528.89
12,10527,624.4
13,16040,884.97
14,30894,846.08
15,16112,691.978
16,12654,629.174
17,15586,555.922
18,11328,645.824
19,18061,555.044
20,30814,916.866
21,14175,885.914
22,15178,924.098
23,34140,753.02
24,13719,719.99
25,23301,648.53
26,21072,700.604
27,43687,981.844
28,16877,779.914
29,21181,1003.896
30,35120,1206.546
31,28898,1391.962
32,38500,1300.088
33,42414,1118.178
34,31407,1224.954
35,37727,913.336
36,73685,1270.322
37,38121,1401.252
38,48919,1680.664
39,53973,1667.482
40,51663,1308.242
41,94299,1246.512
42,79933,1423.554
43,110279,1390.452
44,36133,1083.152
45,67117,1062.822
46,59367,1019.14
47,62383,1462.298
48,60697,1301.41
49,73767,1478.354
50,25703,1016.628
