Generation,Best Fitness,Avg Fitness
1,6172,170.69
2,2086,218.112
3,4285,353.176
4,8444,313.184
5,3347,316.532
6,7304,315.77
7,7200,294.75
8,9584,337.278
9,9469,450.776
10,24036,541.906
11,17792,351.002
12,9848,322.244
13,9349,249.058
14,9451,478.794
15,22077,682.166
16,10819,525.84
17,30612,484.99
18,9606,623.328
19,11467,544.884
20,25203,644.272
21,13709,706.15
22,32689,900.888
23,20701,540.128
24,15758,612.376
25,25864,794.652
26,20994,604.426
27,15616,543.906
28,20921,634.766
29,42189,667.784
30,49196,724.794
31,20915,778.498
32,16720,607.132
33,10587,641.574
34,56350,651.824
35,22203,540.534
36,18919,668.076
37,12512,468.02
38,12425,521.354
39,21005,693.346
40,25105,558.198
41,25245,636.858
42,10450,444.81
43,18025,579.084
44,12578,629.308
45,31442,533.892
46,29549,598.404
47,13573,619.408
48,23850,586.048
49,12512,551.784
50,41590,551.112
