Generation,Best Fitness,Avg Fitness
1,6187,176.406
2,3069,156.08
3,5116,179.884
4,2042,178.686
5,2072,177.832
6,3111,188.688
7,4058,192.446
8,3143,175.74
9,9547,196.396
10,3055,182.422
11,4215,198.206
12,5312,221.732
13,4129,192.588
14,5130,193.852
15,5184,206.678
16,3091,179.418
17,4106,195.306
18,3032,157.726
19,9846,236.666
20,52410,301.494
21,5481,173.962
22,8750,251.156
23,7554,210.778
24,5489,196.02
25,3265,204.84
26,5139,203.068
27,10531,224.07
28,5331,249.032
29,5130,227.74
30,8367,212.838
31,3074,224.92
32,5453,234.42
33,4146,226.418
34,3135,220.044
35,2264,157.688
36,3157,191.196
37,4178,234.838
38,5295,185.482
39,4186,190.886
40,4185,175.26
41,5255,232.748
42,8497,177.536
43,5382,178.544
44,6189,223.03
45,3087,202.422
46,5188,246.964
47,7312,248.628
48,4118,201.56
49,10380,201.52
50,8328,211.162
