Generation,Best Fitness,Avg Fitness
1,10588,150.0295
2,6385,160.0075
3,7163,169.1995
4,10516,153.776
5,6198,192.073
6,9312,266.606
7,6134,225.8305
8,4166,143.4705
9,4141,165.3385
10,4034,198.191
11,6256,239.0935
12,4208,219.623
13,5314,223.1165
14,6195,210.7225
15,4114,179.742
16,7242,194.8425
17,12609,236.106
18,18955,214.801
19,10384,220.1905
20,8284,291.836
21,9585,259.626
22,15931,222.6465
23,5205,216.1695
24,7265,173.2035
25,5160,174.1675
26,11531,129.1265
27,7376,206.996
28,12509,187.6685
29,10728,282.493
30,20204,259.1365
31,24115,338.0235
32,7142,329.064
33,9366,315.8775
34,5326,255.0655
35,13569,291.0405
36,8353,269.683
37,13641,326.36
38,6460,242.7245
39,14674,250.973
40,4291,223.6235
41,10449,207.336
42,11496,250.7455
43,10366,307.1175
44,10445,204.002
45,12758,235.1245
46,11534,183.208
47,18822,166.3275
48,4400,172.238
49,19813,220.173
50,7177,217.532
