Generation,Best Fitness,Avg Fitness
1,4215,138.644
2,6246,193.5205
3,4107,209.2925
4,3123,121.1195
5,10266,146.42
6,5151,152.19
7,7226,170.355
8,5357,121.248
9,6206,134.734
10,2087,120.7075
11,4163,116.3275
12,6257,160.558
13,9244,130.9705
14,7267,143.5345
15,5315,191.6555
16,8271,206.479
17,4208,227.9025
18,5333,238.4225
19,12364,314.6295
20,8282,248.145
21,5260,251.4675
22,10448,345.0275
23,15807,278.439
24,10525,270.8615
25,11485,223.4715
26,11596,220.029
27,6220,184.8765
28,9369,178.15
29,7318,194.8545
30,11357,161.37
31,13646,184.569
32,12363,261.5095
33,6271,199.1845
34,9216,152.796
35,13624,185.866
36,7332,238.0305
37,5189,264.0225
38,7387,292.953
39,10362,316.5025
40,5305,262.0965
41,9606,245.732
42,10438,355.6685
43,32276,306.8875
44,17860,315.9805
45,14786,383.7895
46,23898,289.126
47,9432,242.798
48,9231,175.4585
49,18765,243.2605
50,6642,249.1
