Generation,Best Fitness,Avg Fitness
1,4161,132.5315
2,4110,166.6705
3,4226,182.562
4,7510,176.4755
5,13791,214.302
6,13773,226.5805
7,8260,198.3195
8,15730,180.0695
9,5222,204.856
10,5369,228.1125
11,8345,266.894
12,9374,253.05
13,8239,283.754
14,6302,277.729
15,6256,245.367
16,8238,221.5165
17,8501,194.432
18,6230,249.6805
19,10547,253.9155
20,8267,210.372
21,10341,246.8415
22,19897,237.277
23,8340,183.6945
24,10376,237.186
25,12704,266.2855
26,6438,224.612
27,10595,253.6415
28,9339,231.4975
29,7245,237.978
30,10336,215.0245
31,7244,160.7705
32,6377,144.8235
33,10517,175.4765
34,4108,177.2525
35,12742,212.8395
36,8293,236.1585
37,9324,170.2745
38,10556,147.5375
39,9544,124.8415
40,4273,199.219
41,7216,163.1275
42,7333,191.0355
43,8270,239.771
44,6226,243.517
45,13370,178.483
46,6216,197.7395
47,4170,184.668
48,3384,214.8285
49,4184,182.064
50,6210,190.139
