Generation,Best Fitness,Avg Fitness
1,5144,141.316
2,3464,167.0735
3,4224,182.097
4,7292,197.994
5,6307,220.796
6,6319,224.274
7,7254,217.579
8,18579,203.68
9,5239,237.9525
10,9276,272.6595
11,11426,256.4345
12,7530,272.872
13,9451,255.941
14,14428,299.844
15,8550,275.038
16,10424,298.9975
17,15636,300.7545
18,7388,305.5365
19,13752,325.3525
20,16612,361.9415
21,12356,344.897
22,16488,362.0125
23,10500,384.961
24,22151,391.716
25,9519,407.9075
26,13510,429.6695
27,21716,454.202
28,30274,464.478
29,33846,477.5765
30,12519,451.1155
31,24933,474.434
32,17568,485.8465
33,26080,533.2605
34,27111,573.014
35,23867,527.1715
36,20904,578.067
37,23068,580.08
38,19742,594.168
39,27369,615.7615
40,28143,627.353
41,24961,617.9325
42,17719,541.4725
43,19752,598.9375
44,25065,666.8605
45,21968,578.8035
46,20826,553.168
47,15587,546.05
48,27208,558.3275
49,18750,575.236
50,20945,557.753
51,13460,515.1015
52,22979,540.478
53,12555,529.535
54,17980,526.594
55,20939,514.7495
56,24044,545.422
57,39461,546.52
58,27316,604.7985
59,20773,612.19
60,41080,618.2565
61,16660,558.494
62,20258,578.1515
63,30583,570.7735
64,18822,556.832
65,21780,564.7315
66,29872,609.4985
67,23860,576.157
68,27194,672.744
69,30637,664.7285
70,32215,694.8795
71,25314,684.595
72,32352,702.0695
73,28574,693.1715
74,26114,699.265
75,35704,706.5175
76,40807,732.1055
77,28132,711.981
78,32516,739.2945
79,25173,678.6535
80,23769,678.402
81,48074,757.999
82,22933,710.317
83,28441,702.155
84,36529,769.9425
85,47047,743.141
86,23068,724.8585
87,41056,752.0695
88,27305,752.128
89,31497,746.3405
90,33550,800.099
91,27379,787.198
92,31218,737.55
93,32225,760.3025
94,42951,771.8055
95,33638,827.5125
96,34725,848.6465
97,34316,817.97
98,51157,737.924
99,20988,696.839
100,41896,750.5695
