Generation,Best Fitness,Avg Fitness
1,2061,127.008
2,6177,165.768
3,4123,180.854
4,2322,162.666
5,4133,203.67
6,5305,216.966
7,4117,176.48
8,3062,207.538
9,3065,213.458
10,4249,216.684
11,3111,221.494
12,4489,238.932
13,4099,211.87
14,5249,206.15
15,7232,234.25
16,6192,239.168
17,7295,282.884
18,7186,236.788
19,4146,243.724
20,9379,380.662
21,13399,380.49
22,6147,338.616
23,8229,355.832
24,4102,357.164
25,8423,373.94
26,8300,389.34
27,8436,468.404
28,10408,461.786
29,5224,396.186
30,12432,394.546
31,6301,384.344
32,10323,347.136
33,8377,406.306
34,9372,416.054
35,6369,411.466
36,10610,410.004
37,11491,424.732
38,10421,415.876
39,9517,468.588
40,9410,420.09
41,5372,385.654
42,8435,397.78
43,7187,373.898
44,7295,377.544
45,16673,433.054
46,11559,367.538
47,9312,317.936
48,13621,433.588
49,11401,408.456
50,7239,371.774
