Generation,Best Fitness,Avg Fitness
1,5201,136.48266666666666
2,9205,170.01766666666666
3,14452,209.994
4,7280,186.349
5,14382,203.55866666666665
6,9358,190.39233333333334
7,8430,202.42266666666666
8,15464,229.933
9,16646,201.835
10,17861,219.67333333333335
11,13610,211.81966666666668
12,7243,202.67233333333334
13,8227,196.33133333333333
14,7340,203.178
15,7259,202.453
16,12590,228.26066666666668
17,12496,229.64233333333334
18,26430,218.244
19,13887,249.226
20,7295,207.442
21,22185,221.79133333333334
22,16014,240.16233333333332
23,11416,240.51333333333332
24,12467,236.04566666666668
25,7355,224.95533333333333
26,8419,224.22
27,9378,215.77666666666667
28,13675,235.28
29,6376,219.19733333333335
30,13924,228.865
31,10561,227.69766666666666
32,11795,227.191
33,24188,229.89066666666668
34,12469,222.402
35,10422,229.74033333333333
36,42044,223.657
37,17884,208.237
38,11530,198.23666666666668
39,18224,212.69633333333334
40,10621,210.64
41,5256,209.45433333333332
42,13780,206.671
43,12531,226.69566666666665
44,13616,225.81166666666667
45,16906,226.352
46,8418,209.036
47,7636,206.51333333333332
48,11828,215.993
49,8574,219.23166666666665
50,9454,200.21766666666667
