Generation,Best Fitness,Avg Fitness
1,4060,128.99366666666666
2,4142,162.56333333333333
3,5174,176.456
4,5305,208.10233333333332
5,8349,212.718
6,13588,228.15533333333335
7,10512,227.46566666666666
8,5396,238.849
9,9347,244.67233333333334
10,8324,240.74
11,9477,234.77166666666668
12,11429,269.7343333333333
13,7283,253.99033333333333
14,13581,268.9963333333333
15,8366,258.12766666666664
16,16495,291.1766666666667
17,11404,290.53266666666667
18,18179,305.48966666666666
19,10388,309.103
20,20207,302.8283333333333
21,17470,360.649
22,24225,393.432
23,34563,370.862
24,13651,358.68266666666665
25,24374,407.90233333333333
26,15778,426.7373333333333
27,24912,443.31266666666664
28,21939,447.27633333333335
29,20992,460.0233333333333
30,16627,458.906
31,18818,505.108
32,39680,558.0216666666666
33,22916,581.3906666666667
34,32411,553.2323333333334
35,33748,601.1016666666667
36,36153,607.7036666666667
37,41622,626.8053333333334
38,26096,629.817
39,37932,643.466
40,24863,646.049
41,30623,630.2383333333333
42,33251,696.8256666666666
43,45462,707.9553333333333
44,42147,704.326
45,34733,697.2693333333333
46,34887,766.616
47,32220,787.7003333333333
48,52189,778.4073333333333
49,41824,839.4853333333333
50,36352,751.009
