Generation,Best Fitness,Avg Fitness
1,5163,148.93933333333334
2,6515,172.904
3,5127,182.949
4,5163,182.82033333333334
5,6216,178.63666666666666
6,4294,182.27533333333332
7,5116,184.57266666666666
8,5213,181.26666666666668
9,6257,190.36633333333333
10,10685,187.58233333333334
11,7464,202.46366666666665
12,8496,197.50266666666667
13,8403,205.837
14,36249,216.87366666666668
15,10320,199.57533333333333
16,13692,200.84466666666665
17,9489,192.04566666666668
18,9492,201.847
19,12482,203.77333333333334
20,14651,206.624
21,8441,203.60266666666666
22,23750,214.10566666666668
23,9521,219.9
24,10395,217.94033333333334
25,14514,218.32066666666665
26,9507,215.75233333333333
27,12517,213.97066666666666
28,7336,208.983
29,19073,221.52366666666666
30,25179,206.27933333333334
31,7190,212.29466666666667
32,13641,213.03733333333332
33,19837,222.90133333333333
34,11711,206.62333333333333
35,11410,211.25266666666667
36,10383,222.166
37,17247,220.47166666666666
38,12618,211.97233333333332
39,8355,220.46066666666667
40,9397,202.16333333333333
41,11407,218.22
42,8278,201.73233333333334
43,8343,214.12933333333334
44,42349,242.13766666666666
45,10327,216.61166666666668
46,7302,208.33966666666666
47,21273,210.51733333333334
48,6390,216.10166666666666
49,17232,223.47966666666667
50,16719,215.171
