Generation,Best Fitness,Avg Fitness
1,3048,134.04166666666666
2,3129,233.01633333333334
3,10475,274.2973333333333
4,15525,430.592
5,15778,380.02866666666665
6,23934,465.5883333333333
7,42871,596.0346666666667
8,26017,658.4733333333334
9,42498,811.1016666666667
10,29289,581.5706666666666
11,29583,765.9376666666667
12,34145,681.3056666666666
13,33609,793.803
14,29503,666.299
15,37476,782.328
16,29341,880.4486666666667
17,36236,817.417
18,48286,881.4583333333334
19,42390,847.103
20,43965,906.5586666666667
21,39418,826.7536666666666
22,59322,759.407
23,50339,836.093
24,54183,972.6773333333333
25,43998,926.6616666666666
26,41574,1076.529
27,62691,922.5746666666666
28,89280,920.9286666666667
29,41743,1058.697
30,41878,1063.5173333333332
31,46984,946.4666666666667
32,45341,871.6946666666666
33,50518,1077.1596666666667
34,57005,993.4256666666666
35,64152,948.1876666666667
36,49275,990.585
37,48936,925.505
38,50846,928.59
39,33339,933.2923333333333
40,53600,1245.914
41,43047,1312.231
42,58527,1398.9246666666666
43,54112,1018.9776666666667
44,53015,815.378
45,35828,843.511
46,47185,1042.6093333333333
47,64886,999.4813333333333
48,49534,1261.0326666666667
49,50844,1204.893
50,41942,992.3313333333333
