Generation,Best Fitness,Avg Fitness
1,4323,127.31966666666666
2,5330,185.637
3,10837,168.13933333333333
4,7371,184.523
5,4438,191.32233333333335
6,7453,193.69733333333335
7,8452,270.12166666666667
8,8256,225.95733333333334
9,9151,166.11433333333332
10,12486,181.16266666666667
11,5174,176.47333333333333
12,6328,156.80266666666665
13,6264,99.52466666666666
14,7391,164.333
15,5277,212.72066666666666
16,9550,314.2633333333333
17,6267,226.901
18,7431,207.942
19,14609,148.05366666666666
20,6283,151.249
21,6406,152.74933333333334
22,6277,164.59833333333333
23,8333,136.24133333333333
24,5271,97.74266666666666
25,4175,85.92833333333333
26,9287,120.034
27,3473,130.51233333333334
28,4081,139.04366666666667
29,4244,108.47233333333334
30,6310,133.62666666666667
31,7382,118.50866666666667
32,6341,92.67833333333333
33,3094,113.84433333333334
34,6206,101.814
35,12451,142.411
36,12723,176.42233333333334
37,5320,138.98966666666666
38,6260,153.02266666666668
39,8337,198.79333333333332
40,5448,183.314
41,6322,273.18833333333333
42,6382,232.115
43,19180,251.26633333333334
44,5130,162.494
45,8262,167.09766666666667
46,5170,165.80866666666665
47,7401,243.03266666666667
48,9287,219.33966666666666
49,7421,200.968
50,7268,194.25466666666668
