Generation,Best Fitness,Avg Fitness
1,2106,151.378
2,3338,143.398
3,5221,246.818
4,7254,253.766
5,3092,195.734
6,3155,281.154
7,4356,316.328
8,6115,351.104
9,6168,397.676
10,5218,400.758
11,5149,386.822
12,3304,270.364
13,6241,226.598
14,5200,379.954
15,8252,382.302
16,6268,300.758
17,5341,276.282
18,5176,309.932
19,3162,327.91
20,7170,382.6
21,5228,341.738
22,10895,341.1
23,14417,349.318
24,5304,297.884
25,5417,292.072
26,6299,295.054
27,13349,520.324
28,5215,315.594
29,7571,459.294
30,6290,361.088
31,8677,370.32
32,7262,338.968
33,14034,469.672
34,25375,411.31
35,9313,338.18
36,6205,298.178
37,6605,198.088
38,4222,187.384
39,4386,152.868
40,8515,149.154
41,10465,221.094
42,3189,233.18
43,3193,180.074
44,6613,189.566
45,2056,149.144
46,3191,135.8
47,2034,205.712
48,6271,178.064
49,2067,180.26
50,10668,143.982
