Generation,Best Fitness,Avg Fitness
1,3086,119.01
2,6162,194.348
3,7368,212.556
4,2061,185.508
5,3171,218.984
6,6249,250.64
7,10745,257.37
8,11568,306.39
9,10394,262.506
10,6321,259.248
11,10605,296.832
12,22963,347.272
13,16710,363.972
14,31351,404.998
15,10470,357.964
16,13723,365.476
17,15644,417.482
18,11506,446.316
19,17773,491.856
20,28209,526.86
21,19675,494.406
22,13599,486.1
23,10291,476.294
24,10421,592.928
25,9642,565.53
26,13498,690.744
27,28298,651.232
28,17839,577.88
29,24239,619.03
30,21055,500.29
31,13438,553.066
32,26183,485.216
33,40992,558.532
34,9369,460.724
35,22007,535.756
36,9545,473.906
37,23886,529.316
38,10370,450.47
39,32581,601.988
40,22931,566.016
41,15853,516.35
42,12533,605.376
43,30272,646.864
44,23969,732.11
45,21777,757.04
46,34374,883.416
47,13577,662.086
48,18938,724.792
49,25951,761.098
50,36780,871.646
