Generation,Best Fitness,Avg Fitness
1,2055,142.874
2,3102,114.092
3,6278,184.03
4,3092,228.892
5,5386,242.126
6,4379,231.314
7,3349,212.822
8,4501,201.99
9,3134,158.616
10,2115,131.492
11,3155,206.848
12,2066,162.238
13,2095,178.93
14,7328,211.496
15,3078,199.004
16,3185,266.852
17,7234,315.212
18,5137,207.578
19,9487,363.582
20,5372,260.564
21,6340,245.246
22,2297,200.43
23,9403,213.296
24,4195,241.248
25,7497,226.998
26,4182,199.496
27,10647,203.614
28,3161,219.102
29,2056,127.488
30,2269,151.784
31,2101,139.09
32,2205,236.65
33,2108,239.82
34,4154,267.406
35,6221,231.566
36,4211,265.552
37,5367,260.31
38,7326,328.308
39,3340,369.674
40,6322,308.83
41,5190,240.244
42,6122,295.14
43,4095,277.27
44,8335,241.554
45,9536,276.008
46,4206,237.002
47,3082,253.566
48,8186,319.904
49,3315,190.558
50,4324,233.904
