Generation,Best Fitness,Avg Fitness
1,4117,136.014
2,3058,133.248
3,2134,122.5765
4,5276,121.6625
5,13511,162.1505
6,3112,130.705
7,5234,127.9845
8,6279,129.468
9,3141,115.1715
10,6271,131.341
11,5387,125.909
12,4159,139.2885
13,8275,144.823
14,4097,143.203
15,4160,157.81
16,3096,158.2245
17,6359,194.519
18,7385,196.6235
19,12734,171.1665
20,5350,180.443
21,5204,248.3975
22,5323,217.899
23,7268,274.7295
24,8338,232.393
25,7356,258.66
26,10252,212.787
27,16746,193.831
28,5169,233.235
29,11315,262.7625
30,4187,253.1105
31,8322,257.0835
32,4278,188.8545
33,7218,215.9775
34,7207,212.642
35,4353,237.9875
36,6262,307.354
37,7345,265.4855
38,7362,225.5575
39,9406,217.256
40,5203,264.2645
41,5183,196.6735
42,5065,262.8695
43,3177,227.291
44,4140,204.539
45,6214,211.6885
46,6445,219.0135
47,9264,267.795
48,4141,277.59
49,6255,236.1915
50,4305,202.8025
