Generation,Best Fitness,Avg Fitness
1,3114,154.418
2,9449,394.078
3,6212,380.07
4,8432,556.222
5,14532,442.192
6,12697,554.8
7,12447,548.272
8,22899,762.11
9,14588,631.038
10,14479,621.004
11,14538,571.43
12,15573,477.378
13,9361,428.852
14,17602,564.104
15,10590,610.598
16,9615,648.878
17,20189,635.548
18,20997,708.788
19,17843,685.36
20,21890,773.786
21,31379,688.78
22,17935,870.358
23,23431,782.86
24,32641,729.356
25,20648,659.434
26,16923,617.892
27,17783,686.212
28,14592,680.016
29,19987,519.986
30,25259,823.894
31,24321,1096.83
32,27439,820.908
33,33789,596.366
34,27454,619.998
35,19850,800.044
36,44017,766.978
37,38797,722.836
38,26317,1083.356
39,29334,858.348
40,40674,862.102
41,16590,800.152
42,16926,858.748
43,14830,595.286
44,20850,774.372
45,25205,894.696
46,26342,1408.884
47,26914,676.912
48,27263,1021.632
49,32232,1086.784
50,26780,1371.214
