Generation,Best Fitness,Avg Fitness
1,2104,120.468
2,2067,167.752
3,4089,146.07
4,2034,155.218
5,4093,208.64
6,3112,198.122
7,2089,173.922
8,4080,205.958
9,4105,217.736
10,6243,210.376
11,7261,202.436
12,8536,176.116
13,3139,263.728
14,5111,185.912
15,5302,197.664
16,5268,187.546
17,8406,173.348
18,5334,181.248
19,3130,247.116
20,6421,181.818
21,6260,271.74
22,3363,293.968
23,19061,325.11
24,3187,219.976
25,9523,289.906
26,5280,239.4
27,5285,280.152
28,10526,196.03
29,4281,221.926
30,7405,284.62
31,5251,273.694
32,6437,339.904
33,19001,290.552
34,5318,316.798
35,9890,301.044
36,6213,246.644
37,6384,330.242
38,6456,286.214
39,6326,194.644
40,12876,284.994
41,7212,314.786
42,8625,325.764
43,7274,359.664
44,21674,441.694
45,6500,327.124
46,6281,341.55
47,11761,486.128
48,8422,547.998
49,19414,409.844
50,11323,324.754
