Generation,Best Fitness,Avg Fitness
1,2080,112.208
2,2239,151.074
3,3163,231.57
4,5102,195.06
5,3119,150.858
6,6230,217.07
7,5116,191.852
8,4145,209.716
9,7223,206.082
10,7396,211.184
11,6251,258.55
12,6183,205.534
13,5159,247.07
14,5575,211.676
15,6219,210.79
16,11811,253.33
17,3136,205.764
18,7274,202.606
19,2295,178.25
20,5227,195.604
21,8361,261.402
22,4200,239.686
23,4164,273.8
24,5195,216.274
25,11483,236.596
26,10415,245.788
27,7445,257.664
28,8333,245.896
29,10594,271.186
30,8516,253.272
31,11577,287.294
32,6375,286.856
33,10324,259.58
34,8415,245.346
35,5130,257.592
36,18883,280.336
37,11562,307.522
38,4167,262.86
39,13637,298.58
40,18965,373.422
41,6225,275.08
42,20070,237.838
43,5209,230.794
44,5368,233.248
45,8415,253.586
46,14586,222.91
47,3165,194.35
48,3341,239.376
49,8437,257.364
50,8307,253.956
