Generation,Best Fitness,Avg Fitness
1,3146,135.64066666666668
2,4186,163.42133333333334
3,7218,177.324
4,11670,185.28333333333333
5,6418,186.25633333333334
6,5233,199.10933333333332
7,7272,184.03366666666668
8,9478,208.61933333333334
9,13536,210.363
10,16885,192.12866666666667
11,10343,197.98233333333334
12,13939,202.41
13,9692,204.434
14,12635,195.59133333333332
15,18656,209.744
16,8323,196.122
17,10406,209.477
18,6532,192.478
19,14469,202.91166666666666
20,6237,188.66266666666667
21,11374,206.34866666666667
22,11511,196.79733333333334
23,9522,193.63
24,9390,206.93733333333333
25,9287,213.633
26,10401,206.43133333333333
27,34282,230.55533333333332
28,20811,246.70566666666667
29,15783,246.973
30,17657,241.322
31,11755,213.61366666666666
32,13725,229.25
33,18711,205.633
34,10311,234.182
35,19581,220.71033333333332
36,16710,203.988
37,24911,205.281
38,13484,201.02933333333334
39,8560,218.73666666666668
40,7217,216.25266666666667
41,16737,224.14
42,5377,230.207
43,21874,228.32033333333334
44,11320,202.309
45,14616,214.86633333333333
46,6405,214.43933333333334
47,10324,222.712
48,10587,207.77433333333335
49,9167,204.08866666666665
50,9520,200.90433333333334
