Generation,Best Fitness,Avg Fitness
1,2063,118.034
2,3399,155.6315
3,5186,179.712
4,6559,189.587
5,5226,187.426
6,18681,194.4905
7,7384,205.2165
8,13001,216.8605
9,26037,202.9625
10,6351,182.963
11,18951,204.3125
12,7186,201.368
13,8561,223.5035
14,6152,199.5715
15,5305,216.545
16,9455,194.711
17,7228,208.589
18,8173,200.8125
19,3135,185.979
20,16212,219.283
21,9516,207.715
22,9544,210.668
23,13559,214.9215
24,6381,209.8895
25,10434,210.1565
26,7284,209.076
27,13636,217.442
28,11849,236.882
29,9485,209.915
30,7415,205.064
31,7377,222.725
32,5182,199.408
33,5157,194.8775
34,9351,197.596
35,16937,209.0135
36,10725,186.004
37,13988,211.613
38,7421,192.5025
39,10264,186.057
40,5178,210.0775
41,7488,220.401
42,6284,217.374
43,9381,227.0145
44,8568,231.625
45,7386,185.1425
46,6479,212.193
47,7315,223.3635
48,4459,202.9445
49,8207,203.495
50,9442,231.3185
