Generation,Best Fitness,Avg Fitness
1,16794,164.434
2,12573,153.786
3,2126,150.614
4,3168,174.37
5,3097,193.054
6,5322,177.388
7,3237,188.296
8,6210,210.318
9,4206,186.866
10,4161,178.936
11,7147,229.406
12,2156,184.294
13,6200,227.158
14,2092,188.304
15,3135,167.426
16,2143,178.182
17,2205,190.946
18,7425,201.336
19,4243,229.926
20,3097,198.018
21,3077,165.898
22,3109,193.194
23,4141,254.44
24,3201,173.71
25,9319,246.244
26,2117,190.592
27,9234,233.106
28,5235,206.992
29,3103,195.502
30,7243,194.14
31,3066,166.614
32,4226,177.076
33,4103,197.212
34,2112,189.088
35,5380,177.01
36,5265,192.3
37,16869,234.942
38,7226,221.662
39,5294,184.214
40,7323,228.064
41,5132,223.048
42,6236,213.04
43,11379,225.87
44,8566,191.132
45,3120,230.53
46,2100,178.79
47,3125,185.178
48,5182,228.364
49,5249,209.394
50,5326,189.83
