Generation,Best Fitness,Avg Fitness
1,3037,135.063
2,4256,159.0525
3,4265,172.239
4,4165,191.9805
5,6182,179.638
6,8197,182.6315
7,6382,185.0445
8,5240,199.759
9,4178,190.296
10,8261,177.1685
11,4160,182.645
12,4297,191.39
13,4121,174.805
14,6222,188.1365
15,7470,206.7445
16,6235,200.656
17,12621,196.758
18,8313,177.5325
19,3134,183.0265
20,9298,191.306
21,10342,194.809
22,25172,214.598
23,11309,185.567
24,4137,203.566
25,10361,201.3145
26,5225,189.205
27,4180,195.816
28,10400,193.8245
29,4152,195.981
30,7269,199.695
31,5157,183.8095
32,8279,169.523
33,11473,208.2825
34,4134,190.5775
35,8285,194.434
36,9394,209.423
37,5244,206.42
38,15546,213.64
39,9280,204.512
40,6298,229.858
41,7494,230.332
42,8346,212.192
43,8447,208.2055
44,9411,230.4205
45,9868,234.3415
46,13118,219.5405
47,7380,202.065
48,7379,219.691
49,4389,216.5475
50,6212,202.1275
