Generation,Best Fitness,Avg Fitness
1,5212,130.8355
2,4187,180.5565
3,5188,162.423
4,7398,194.356
5,13644,201.4855
6,9399,226.517
7,8269,240.553
8,5248,247.806
9,6446,262.176
10,9373,251.6525
11,7401,263.046
12,10492,276.209
13,7382,274.8015
14,10920,288.8405
15,6185,283.0275
16,9319,271.902
17,8282,274.541
18,9454,312.7895
19,12474,280.695
20,13828,303.617
21,13534,337.405
22,13509,349.1145
23,10473,341.309
24,15855,364.6735
25,8557,333.323
26,15487,343.9485
27,12492,385.1
28,13658,368.845
29,21836,404.1495
30,15646,403.983
31,20866,405.824
32,15741,378.2365
33,19630,457.082
34,25017,484.0605
35,19775,467.8315
36,24135,512.6905
37,14822,502.24
38,19836,505.7905
39,13750,509.85
40,20794,520.305
41,14556,523.258
42,17652,527.028
43,17509,557.133
44,22018,548.265
45,23102,549.4425
46,33409,556.3165
47,27981,569.1495
48,30126,532.63
49,64040,573.618
50,22047,531.447
51,25326,512.4255
52,23613,544.041
53,25350,564.535
54,26098,580.7155
55,22192,572.07
56,34239,557.6815
57,23692,550.9435
58,41977,600.962
59,31206,665.5685
60,24444,658.565
61,47017,701.235
62,28538,621.5005
63,31245,672.516
64,27249,704.2455
65,34470,699.0995
66,31156,765.612
67,27195,712.0325
68,39668,738.0
69,25989,824.219
70,24019,822.235
71,31188,875.913
72,32285,864.4115
73,22873,850.632
74,29273,907.6535
75,34246,881.3755
76,34528,828.127
77,33561,892.946
78,22249,824.567
79,35602,902.5555
80,48093,936.541
81,25152,882.653
82,38649,896.379
83,26314,816.1925
84,29966,815.803
85,38890,799.2125
86,51110,792.905
87,29563,688.244
88,27173,766.354
89,31219,769.0625
90,20434,744.4505
91,44729,801.0135
92,33710,787.689
93,30244,779.9785
94,32552,754.232
95,38567,847.715
96,49371,851.8145
97,42896,802.2675
98,40755,894.2325
99,39761,864.6525
100,31219,820.303
