Generation,Best Fitness,Avg Fitness
1,3194,122.686
2,5190,164.40333333333334
3,6258,186.76166666666666
4,4060,177.56266666666667
5,6209,173.24366666666666
6,4148,198.389
7,9418,208.142
8,5324,187.217
9,9392,219.96066666666667
10,7364,207.88633333333334
11,7352,210.53366666666668
12,6202,217.38833333333332
13,7297,202.346
14,11581,200.544
15,11436,199.70333333333335
16,5255,193.045
17,12497,213.32666666666665
18,4178,200.828
19,14825,202.176
20,5132,210.479
21,19849,227.49066666666667
22,31589,223.93566666666666
23,14644,206.459
24,9504,207.65
25,8590,225.05433333333335
26,12981,217.759
27,9549,211.45033333333333
28,8502,227.17633333333333
29,9431,220.37366666666668
30,9732,208.691
31,7157,219.742
32,15917,226.744
33,10493,231.43933333333334
34,7225,212.013
35,8369,201.533
36,8567,207.654
37,5283,222.595
38,10325,220.20133333333334
39,12543,225.54466666666667
40,5341,210.799
41,24254,217.09933333333333
42,17990,239.01933333333332
43,7521,211.73533333333333
44,8347,205.04733333333334
45,7347,224.925
46,5200,207.67366666666666
47,6234,219.42666666666668
48,7212,213.567
49,11341,211.25033333333334
50,7183,210.486
