Generation,Best Fitness,Avg Fitness
1,2070,143.092
2,12454,183.702
3,2040,166.49
4,2083,177.868
5,3228,226.932
6,3098,210.146
7,3071,182.066
8,7285,175.61
9,3251,177.21
10,6172,187.304
11,7415,186.458
12,2090,158.296
13,3228,183.424
14,2129,157.006
15,2060,179.212
16,4124,178.952
17,4228,222.122
18,6236,209.146
19,2067,171.78
20,4209,212.222
21,2064,190.414
22,19007,217.834
23,6467,231.502
24,3127,231.828
25,3331,216.7
26,25384,257.566
27,7462,188.562
28,10604,197.274
29,4288,205.772
30,7427,218.944
31,7206,210.724
32,10308,238.668
33,5452,200.802
34,5125,215.808
35,4241,228.532
36,6152,242.654
37,6159,219.436
38,13728,266.068
39,17955,245.01
40,5284,262.408
41,6235,188.728
42,5452,218.444
43,3219,169.802
44,3019,188.038
45,4317,199.084
46,2046,181.404
47,2127,196.102
48,18065,283.708
49,3109,158.216
50,3036,178.764
