Generation,Best Fitness,Avg Fitness
1,4111,153.4725
2,3106,181.0995
3,5339,204.4565
4,6144,205.241
5,9454,210.996
6,7224,243.82
7,10825,244.7245
8,11461,240.734
9,9351,246.356
10,21978,251.2285
11,6495,236.4195
12,9394,256.8415
13,9450,246.379
14,19442,259.867
15,14827,253.1795
16,15811,274.7235
17,14490,264.782
18,22164,274.3235
19,11626,318.0235
20,9377,294.558
21,15592,317.0515
22,14487,338.1835
23,10482,339.499
24,17800,310.502
25,17875,335.076
26,11344,333.396
27,11341,327.0305
28,11624,368.997
29,10405,358.846
30,14661,352.02
31,8414,377.4205
32,23827,414.702
33,25911,406.942
34,13870,408.496
35,20710,449.838
36,22993,422.7285
37,24997,436.012
38,21771,457.5885
39,27189,426.2055
40,13589,406.2385
41,10811,398.427
42,36497,429.864
43,17020,446.5975
44,17588,432.0335
45,9296,425.1335
46,20753,397.2665
47,10705,426.121
48,10337,408.8095
49,16721,420.2395
50,13453,464.156
51,10443,428.861
52,15760,424.111
53,12480,419.499
54,35574,464.271
55,16627,467.421
56,35666,481.323
57,18886,480.413
58,22937,524.2795
59,23199,507.937
60,12620,439.7735
61,28075,472.326
62,21168,477.5165
63,16221,464.5775
64,33363,510.5225
65,23525,515.8145
66,34623,558.951
67,24271,565.6105
68,25379,520.368
69,29381,548.798
70,19695,553.083
71,17038,596.794
72,19855,600.769
73,24027,595.9075
74,26334,587.731
75,29451,588.4185
76,25581,558.868
77,32847,567.6395
78,15855,531.746
79,21179,546.8935
80,28569,583.982
81,23110,607.967
82,21090,574.3835
83,23205,538.433
84,21287,486.0115
85,27144,512.8025
86,35451,531.22
87,28158,525.7175
88,34773,511.583
89,18566,471.352
90,28239,525.332
91,20095,518.871
92,31833,534.79
93,24106,515.251
94,19863,499.619
95,17837,505.1755
96,24212,534.5075
97,18890,470.203
98,20718,556.8155
99,18024,561.4015
100,24874,538.369
