Generation,Best Fitness,Avg Fitness
1,3119,133.242
2,4211,184.706
3,6262,214.672
4,4257,235.588
5,7284,211.986
6,10375,280.1
7,16543,290.554
8,7364,259.442
9,4194,270.372
10,5174,226.768
11,9349,257.91
12,8302,238.496
13,7297,285.37
14,19996,342.074
15,6279,311.512
16,10786,363.658
17,4060,326.788
18,15692,298.368
19,10514,301.642
20,6288,324.454
21,11353,399.38
22,7305,355.03
23,9447,503.53
24,7268,472.006
25,6442,391.922
26,10561,483.18
27,9716,537.858
28,14670,485.204
29,7453,406.058
30,11488,488.646
31,14620,466.07
32,19208,461.154
33,23960,516.25
34,10386,402.502
35,6229,402.874
36,8353,404.552
37,15743,459.75
38,13587,528.744
39,11554,494.152
40,15662,508.908
41,28488,540.64
42,18858,530.526
43,16870,551.562
44,17963,524.822
45,27451,570.584
46,25418,531.512
47,13811,627.552
48,11698,569.446
49,18032,552.256
50,30408,631.862
