Generation,Best Fitness,Avg Fitness
1,4389,139.284
2,4108,177.262
3,3352,171.6865
4,7162,189.8965
5,5202,198.8695
6,6248,178.402
7,14727,188.072
8,15821,192.9935
9,5301,191.102
10,7319,193.3035
11,4219,171.4285
12,4158,201.9535
13,6301,200.6325
14,5369,210.374
15,9395,221.6125
16,4217,193.6815
17,11348,195.3335
18,8636,199.7825
19,6229,213.9305
20,11350,213.5525
21,12634,223.0815
22,18625,220.45
23,9713,226.1645
24,6233,224.39
25,10571,204.3115
26,8415,210.6375
27,6158,210.526
28,11544,190.4495
29,6307,200.829
30,27174,205.3415
31,12590,208.6625
32,5231,208.851
33,21705,217.791
34,15855,209.239
35,18815,208.6135
36,5228,209.614
37,21088,238.0885
38,5193,203.531
39,8289,218.459
40,12409,220.0185
41,11489,227.036
42,8274,222.9635
43,24001,236.789
44,9817,206.758
45,14779,237.9435
46,4156,201.3145
47,15522,229.0585
48,10298,227.246
49,12398,216.069
50,16738,205.499
