Generation,Best Fitness,Avg Fitness
1,3096,149.222
2,2097,165.004
3,3172,208.5
4,5113,214.128
5,5147,275.886
6,4087,212.148
7,4388,223.39
8,3151,230.858
9,4120,237.122
10,10444,254.228
11,3372,203.184
12,4304,255.382
13,14463,320.828
14,11586,307.46
15,18932,333.766
16,10409,270.496
17,19808,344.0
18,7166,342.936
19,23170,358.728
20,8319,345.754
21,20841,458.76
22,12514,449.624
23,28258,459.732
24,17604,421.342
25,11511,530.054
26,10434,524.682
27,10549,468.164
28,29290,484.656
29,7291,476.622
30,11777,536.146
31,12535,462.746
32,11386,537.878
33,10360,451.294
34,18902,414.724
35,12477,440.198
36,5172,380.956
37,11630,470.29
38,8338,467.712
39,6493,441.826
40,9544,493.428
41,14942,479.726
42,13481,469.862
43,6354,454.83
44,13868,511.314
45,21115,506.748
46,8428,438.112
47,14698,416.652
48,9272,409.63
49,21170,472.264
50,11383,477.266
