Generation,Best Fitness,Avg Fitness
1,4131,131.15466666666666
2,3172,169.14133333333334
3,7288,186.606
4,7189,206.03233333333333
5,11500,193.42633333333333
6,5082,213.04066666666668
7,12653,197.367
8,5193,209.05766666666668
9,10499,210.754
10,8704,212.072
11,10539,218.385
12,11467,239.035
13,10411,229.68366666666665
14,7306,230.49366666666666
15,10765,243.058
16,8420,229.75466666666668
17,6386,242.74366666666666
18,8232,222.29266666666666
19,11289,239.68366666666665
20,12721,247.681
21,11493,247.50533333333334
22,8385,244.46966666666665
23,15598,276.48533333333336
24,15604,279.92533333333336
25,17750,290.54366666666664
26,7410,283.9476666666667
27,22390,290.75166666666667
28,11529,280.371
29,10545,281.2223333333333
30,25281,292.693
31,8457,273.6073333333333
32,18735,304.84566666666666
33,14507,288.15066666666667
34,29281,327.19033333333334
35,28273,325.042
36,13613,304.5996666666667
37,29476,341.6743333333333
38,13695,315.13
39,14699,345.42533333333336
40,14668,368.94
41,44581,373.736
42,23195,377.042
43,35551,407.081
44,38725,445.09766666666667
45,28347,411.672
46,35781,446.55533333333335
47,34853,473.328
48,39713,477.116
49,37766,505.66366666666664
50,26206,493.63933333333335
