Generation,Best Fitness,Avg Fitness
1,2115,143.596
2,2372,192.912
3,12674,301.674
4,6338,254.566
5,23175,244.394
6,4235,255.27
7,11513,252.468
8,7325,271.512
9,17860,223.926
10,6196,206.908
11,16638,205.95
12,23077,246.254
13,8439,188.096
14,3159,191.206
15,11545,180.818
16,14633,197.128
17,7244,146.742
18,8244,283.104
19,13562,320.778
20,6351,211.076
21,13675,274.69
22,13838,277.06
23,6370,247.418
24,13675,161.382
25,31434,198.566
26,11565,191.904
27,11437,218.182
28,8283,287.792
29,6424,227.184
30,9477,282.984
31,4228,228.308
32,7342,269.308
33,15817,213.31
34,7397,231.884
35,5256,287.242
36,23161,189.11
37,17872,240.394
38,5427,194.262
39,12607,264.568
40,6426,260.482
41,22027,263.342
42,9424,189.116
43,10473,231.324
44,15787,220.2
45,9427,201.08
46,9396,187.118
47,22850,225.61
48,15600,197.564
49,10439,170.532
50,7405,137.77
