Generation,Best Fitness,Avg Fitness
1,11097,150.4405
2,4248,180.7795
3,3091,193.382
4,4219,198.1335
5,13680,201.302
6,13530,220.1375
7,5177,224.312
8,11415,260.6515
9,10502,243.748
10,12458,245.1435
11,11524,256.9565
12,7271,254.6935
13,11532,252.3365
14,10335,286.9975
15,19712,252.5075
16,10472,232.1845
17,11433,280.9535
18,29094,301.977
19,10548,313.8525
20,6314,267.855
21,14789,295.782
22,13451,314.064
23,15683,322.164
24,33153,348.233
25,10529,351.8255
26,26125,319.758
27,8290,340.193
28,16647,379.248
29,22769,373.1885
30,13500,366.5345
31,17681,392.05
32,14508,366.401
33,10437,434.5845
34,12452,423.386
35,13590,437.0415
36,31449,412.207
37,28538,469.0655
38,22948,417.668
39,21855,438.1175
40,21034,431.0775
41,17923,422.4395
42,24816,408.442
43,22869,464.251
44,29707,477.2745
45,31704,504.6955
46,18990,417.3765
47,15578,445.317
48,17873,414.121
49,17571,424.779
50,13453,435.842
51,13536,406.915
52,12649,441.104
53,16648,424.133
54,18815,483.2645
55,27872,447.4715
56,24400,431.6085
57,22984,476.6435
58,12486,463.2535
59,14470,449.4395
60,16673,405.791
61,30887,457.8595
62,20127,468.31
63,11444,471.2235
64,16629,483.1315
65,28549,501.3975
66,14841,473.595
67,20659,485.715
68,21037,540.1335
69,31300,531.9265
70,25340,540.6865
71,18691,523.9795
72,44368,531.476
73,36698,529.195
74,12689,506.2795
75,45417,547.2525
76,20984,549.7825
77,18953,494.464
78,15903,570.3915
79,35392,546.6945
80,16751,531.126
81,17696,514.6955
82,44782,556.0975
83,23121,550.57
84,30193,598.7185
85,19742,588.821
86,19687,580.8795
87,19939,538.233
88,17552,548.2515
89,13407,498.7885
90,52112,629.132
91,17605,563.708
92,28281,627.425
93,19720,607.823
94,24743,600.354
95,17691,558.4285
96,23914,596.442
97,32210,570.852
98,30645,556.331
99,23968,613.486
100,17493,560.6255
