Generation,Best Fitness,Avg Fitness
1,3106,139.088
2,3032,141.136
3,3096,159.162
4,3060,171.136
5,2070,150.292
6,6262,162.256
7,2207,180.906
8,7229,192.594
9,14618,216.424
10,5109,168.89
11,6184,207.46
12,3094,199.39
13,2106,189.67
14,2309,176.162
15,8238,217.956
16,3079,192.728
17,2142,184.25
18,12339,222.348
19,3059,198.936
20,3086,193.366
21,2053,191.322
22,4190,216.228
23,4499,177.498
24,2135,148.606
25,3164,161.552
26,4132,187.67
27,4219,185.482
28,3228,172.478
29,4107,227.198
30,3124,199.006
31,9504,200.618
32,3321,211.584
33,2120,166.696
34,3339,192.96
35,2111,186.356
36,5250,189.204
37,5079,205.844
38,3357,218.786
39,2114,177.89
40,3136,192.708
41,6170,209.342
42,9710,190.212
43,8306,213.684
44,2151,229.284
45,3125,180.974
46,3331,212.31
47,2187,203.038
48,6446,178.946
49,8440,240.908
50,4156,201.428
