Generation,Best Fitness,Avg Fitness
1,3178,128.0625
2,3331,167.724
3,3156,172.3355
4,4101,178.0375
5,5119,185.1635
6,6207,191.9435
7,5154,203.1465
8,8297,205.042
9,4069,183.8845
10,4180,205.363
11,8261,196.7685
12,7271,197.5655
13,5243,205.103
14,5147,196.6335
15,9308,219.6655
16,5215,212.7135
17,5171,204.0455
18,8481,207.586
19,8351,189.0225
20,14558,213.515
21,6434,190.3105
22,15484,203.2335
23,19724,231.2245
24,10480,222.9185
25,4125,199.487
26,4085,188.8845
27,4175,212.1985
28,6561,213.82
29,10527,225.302
30,6184,214.7635
31,8409,225.5295
32,12638,211.3025
33,5423,236.152
34,6313,223.0965
35,6348,219.851
36,6521,199.6815
37,5308,225.184
38,7252,214.7585
39,11651,204.373
40,7229,202.809
41,3372,201.8795
42,24996,232.2655
43,7253,222.5335
44,5203,211.5665
45,7620,203.868
46,8291,215.2915
47,11774,217.9235
48,11727,230.402
49,22986,239.5195
50,14692,237.6355
